Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,67.420502,68.433998,67.324501,68.433998,68.355545,27278000
2020-01-03,67.400002,68.687500,67.365997,68.075996,67.997955,23408000
2020-01-06,67.581497,69.916000,67.550003,69.890503,69.810379,46768000
2020-01-07,70.023003,70.175003,69.578003,69.755501,69.675537,34330000
2020-01-08,69.740997,70.592499,69.631500,70.251999,70.171463,35314000
2020-01-09,71.096497,71.433998,70.510498,70.989502,70.908119,33200000
2020-01-10,71.473503,71.747002,70.980003,71.447998,71.366089,26258000
2020-01-13,71.762497,72.073997,71.268501,72.001503,71.918961,30730000
2020-01-14,72.000000,72.131500,71.388496,71.529503,71.447502,26076000
2020-01-15,71.651001,72.039001,71.583000,71.959999,71.877502,21550000
2020-01-16,72.272499,72.535004,72.000000,72.508003,72.424881,26080000
2020-01-17,73.126999,74.027496,72.827499,73.975998,73.891197,52424000
2020-01-21,73.949997,74.494003,73.510498,74.112503,74.027542,48930000
2020-01-22,74.486504,75.028999,74.133003,74.193497,74.108444,28458000
2020-01-23,74.377502,74.675003,74.015999,74.234497,74.149399,26650000
2020-01-24,74.640999,74.709999,73.158997,73.308502,73.224464,29786000
2020-01-27,71.577003,71.829002,70.974998,71.586502,71.504440,34132000
2020-01-28,72.086998,72.739998,71.517998,72.525002,72.441864,29724000
2020-01-29,72.922997,73.207001,72.269501,72.834999,72.751503,21566000
2020-01-30,71.904999,72.762497,71.750000,72.712502,72.629143,27110000
2020-01-31,73.392998,73.483498,71.352997,71.639000,71.556877,43822000
2020-02-03,73.082497,74.315002,72.830498,74.129997,74.045013,71636000
2020-02-04,72.724503,73.366997,71.101501,72.270500,72.187653,95880000
2020-02-05,73.180496,73.228996,71.484001,72.302498,72.219612,36376000
2020-02-06,72.598999,74.078003,72.524002,73.798500,73.713898,37822000
2020-02-07,73.369499,74.262497,73.270500,73.955498,73.870720,28360000
2020-02-10,73.861504,75.444000,73.760002,75.432999,75.346527,38302000
2020-02-11,75.663498,76.494003,75.272499,75.502998,75.416443,34852000
2020-02-12,75.792999,76.014999,75.433502,75.931503,75.844460,31042000
2020-02-13,75.500000,76.297501,75.199997,75.669502,75.582756,22914000
2020-02-14,75.726501,76.002502,75.277496,75.936501,75.849449,23198000
2020-02-18,75.717003,76.528000,75.550499,75.972000,75.884911,25642000
2020-02-19,76.360001,76.537003,76.049004,76.243500,76.156097,22746000
2020-02-20,75.950500,76.353500,75.212997,75.849503,75.762550,25962000
2020-02-21,75.228996,75.547501,73.924500,74.172997,74.087967,42520000
2020-02-24,71.152496,71.819000,70.339500,70.992996,70.911613,49560000
2020-02-25,71.550003,71.842499,69.021004,69.316002,69.236542,51580000
2020-02-26,69.749001,70.683502,68.827499,69.523499,69.443802,49776000
2020-02-27,67.957001,68.470001,65.711998,65.747498,65.672127,62290000
2020-02-28,63.715500,67.122498,63.410500,66.962502,66.885735,80198000
2020-03-02,67.569504,69.373497,66.260002,69.316002,69.236542,55430000
2020-03-03,69.884003,70.409500,66.461998,66.886002,66.809326,56602000
2020-03-04,67.947998,69.139000,66.849998,69.080002,69.000809,47598000
2020-03-05,67.277496,67.681503,65.082001,65.737999,65.662636,54380000
2020-03-06,63.497501,65.137497,62.860500,64.787003,64.712730,64640000
2020-03-09,60.248001,62.636501,59.902000,60.789501,60.719814,69252000
2020-03-10,62.719501,63.792500,60.725498,63.758499,63.685410,54872000
2020-03-11,62.413502,62.846500,59.556999,60.544998,60.475590,54732000
2020-03-12,56.131001,59.437500,55.423500,55.577499,55.513786,94326000
2020-03-13,58.749500,60.720001,55.614498,60.713501,60.643902,79400000
2020-03-16,54.480499,57.273499,53.354000,53.650002,53.588497,96520000
2020-03-17,54.532001,56.299999,52.455002,55.903000,55.838913,83194000
2020-03-18,52.997002,55.249500,51.849998,54.559502,54.496956,93044000
2020-03-19,54.410999,57.630501,52.777500,55.583500,55.519779,74064000
2020-03-20,56.544998,56.924000,53.105000,53.410500,53.349270,82878000
2020-03-23,52.818501,53.345501,50.443501,52.706501,52.646080,83672000
2020-03-24,55.199001,56.666500,54.321499,56.500500,56.435730,72468000
2020-03-25,56.229000,57.308498,54.150501,55.081001,55.017857,90324000
2020-03-26,55.736000,58.574001,54.601501,58.146000,58.079342,76562000
2020-03-27,56.373501,57.552502,55.200001,55.513000,55.449360,62794000
2020-03-30,56.632000,57.549999,54.924500,57.315498,57.249794,58736000
2020-03-31,57.436501,58.669998,56.835999,58.097500,58.030899,65228000
2020-04-01,56.200001,56.471001,54.674500,55.105000,55.041828,51970000
2020-04-02,55.000000,56.138500,54.656502,55.851501,55.787476,56410000
2020-04-03,55.735500,55.939499,53.754002,54.634998,54.572365,51374000
2020-04-06,56.650002,59.537498,56.250000,59.159500,59.091682,63320000
2020-04-07,60.850498,61.039001,58.862499,59.127998,59.060215,61620000
2020-04-08,60.154999,60.744999,59.197498,60.349998,60.280815,40334000
2020-04-09,60.909000,61.099499,59.620998,60.328499,60.259338,54028000
2020-04-13,60.075001,60.726002,59.116501,60.520500,60.451122,38702000
2020-04-14,61.998501,63.787498,61.426998,63.261501,63.188980,63358000
2020-04-15,62.325500,63.755501,61.700001,62.865002,62.792934,42236000
2020-04-16,63.356998,63.667999,61.910000,62.871498,62.799423,57896000
2020-04-17,64.084999,64.500000,63.299999,63.950001,63.876690,51050000
2020-04-20,63.494499,63.841000,62.821999,63.057499,62.985210,35292000
2020-04-21,62.135502,62.500000,60.250000,60.608002,60.538521,49648000
2020-04-22,62.055500,63.993999,61.860001,62.920502,62.848370,46296000
2020-04-23,63.286999,64.407501,63.026501,63.558498,63.485638,34202000
2020-04-24,62.750000,63.885502,62.200001,63.830002,63.756828,37402000
2020-04-27,64.599998,64.705002,63.252998,63.542999,63.470154,44186000
2020-04-28,64.160004,64.237999,61.519001,61.629501,61.558849,80700000
2020-04-29,67.250000,68.007500,66.336502,67.109001,67.032066,108358000
2020-04-30,66.568001,67.500000,66.074997,67.334999,67.257805,55842000
2020-05-01,66.204498,67.571503,65.483002,65.865997,65.790489,48872000
2020-05-04,65.406502,66.223503,64.800499,66.144997,66.069168,30806000
2020-05-05,66.875000,68.550499,66.751503,67.450996,67.373672,39666000
2020-05-06,67.900002,68.434502,67.256500,67.271500,67.194382,31732000
2020-05-07,68.065498,68.800003,67.626999,68.463997,68.385513,30652000
2020-05-08,69.091003,69.832001,68.600502,69.217003,69.137657,33326000
2020-05-11,68.839500,70.776497,68.775002,70.179497,70.099045,32718000
2020-05-12,70.411003,70.716499,68.725502,68.759003,68.680176,33918000
2020-05-13,68.807999,69.266502,66.400497,67.416496,67.339211,40368000
